Entity,Code,Year,GDP,Cantril ladder score
Afghanistan,AFG,2020,1970.5602,2.5229
Albania,ALB,2020,13191.952,5.1174
Algeria,DZA,2020,10735.383,4.8871
Argentina,ARG,2020,19690.662,5.9293
Australia,AUS,2020,48678.684,7.1835
Bahrain,BHR,2020,41480.58,6.6469
Bangladesh,BGD,2020,4871.4463,5.0246
Bolivia,BOL,2020,7845.171,5.7159
Bosnia and Herzegovina,BIH,2020,14509.266,5.8131
Brazil,BRA,2020,14063.982,6.3301
Bulgaria,BGR,2020,22379.094,5.2655
Burkina Faso,BFA,2020,2155.7693,4.8338
Canada,CAN,2020,46064.254,7.1033
Chile,CHL,2020,23324.525,6.1719
China,CHN,2020,16315.815,5.3391
Colombia,COL,2020,13448.933,6.0124
Congo,COG,2020,3433.959,5.3417
Costa Rica,CRI,2020,19903.14,7.0694
Denmark,DNK,2020,55819.91,7.6195
Dominican Republic,DOM,2020,17003.014,5.5451
Ecuador,ECU,2020,10329.199,5.764
El Salvador,SLV,2020,7982.626,6.0605
Estonia,EST,2020,35257.16,6.1888
Finland,FIN,2020,47154.426,7.8421
Georgia,GEO,2020,13966.326,4.8914
Greece,GRC,2020,27072.62,5.7226
Guatemala,GTM,2020,8393.284,6.4345
Haiti,HTI,2020,2934.2458,3.6149
Hong Kong,HKG,2020,56153.973,5.4767
Iceland,ISL,2020,52375.68,7.5539
Iran,IRN,2020,12644.445,4.7212
Italy,ITA,2020,39073.414,6.4831
Japan,JPN,2020,40232.21,5.9405
Kazakhstan,KAZ,2020,25363.166,6.1518
Laos,LAO,2020,7810.735,5.03
Latvia,LVA,2020,30100.27,6.032
Liberia,LBR,2020,1392.0049,4.6252
Madagascar,MDG,2020,1463.865,4.2085
Malawi,MWI,2020,1508.8429,3.6
Mexico,MEX,2020,17852.36,6.3168
